Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum
4736395,0,Government,SALARIED,3,0.581436667,0,30251,30251,0,4,2,44,35,1,180.0000,0.0000,2.Govt,SALARIED,ALTERNATE CHANNELS,1,49.42977092,Builder UNC,SAL,0.494297709,0.494297709
4736721,0,Partner-Partnership Firm (Staff More than 10 & Less than 25),SERV-PRIVATE SECTOR,0,0.794273753,0,27162,48552,21390,3,3,28,28,1,300.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,42.10743121,Resale Ready,SAL,0.75266917,0.421074312
4739709,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,4,,0,24280.8333,24280.8333,0,3,3,41,40,1,240.0000,0.0000,3.Private Ltd Co,SELF_EMP,UBL Sales,2,,Builder UNC,NONSAL,0.602326939,0.602326939
4740887,0,Private Ltd. Co.,SAL(RETIRAL AGE 58),3,0.603503058,0,15831,15831,0,4,1,60,33,1,252.0000,0.0000,3.Private Ltd Co,SALARIED,DIRECT,2,57.53268903,Resale Ready,SAL,0.57532689,0.57532689
4743153,0,Government,SALARIED,2,0.449817,0,26261,26261,0,2,2,41,35,1,180.0000,0.0000,2.Govt,SALARIED,CROSS SALES,1,36.70842694,Builder UNC,SAL,0.367084269,0.367084269
4743469,0,Others,PROPRIETOR,3,,0,32312.9167,32312.9167,0,2,2,41,33,1,288.0000,0.0000,1.Others,SELF_EMP,UBL Sales,2,,Builder Ready,NONSAL,0.610003739,0.610003739
4744043,0,Partner-Partnership Firm (Staff More than 25),SERVICES,0,0.895514118,0,21186.6667,21186.6667,0,3,3,33,32,1,180.0000,0.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,1,,Builder Ready,NONSAL,0.805459407,0.805459407
4744135,0,Government,SALARIED,0,0.417956418,0,43759,43759,0,3,3,47,45,1,168.0000,0.0000,2.Govt,SALARIED,DSA,1,54.45051304,Self Construction,SAL,0.382001417,0.382001417
4744717,0,Proprietor-Proprietorship Firm (Staff Less than 25),JEWELLER,0,0.66948883,0,21401.6667,41619.1667,20217.5,2,2,50,25,1,180.0000,0.0000,3.Private Ltd Co,SELF_EMP,UBL Sales,2,34.37358586,Resale Ready,NONSAL,0.668452612,0.343735859
4744719,0,Private Ltd. Co.,SAL(RETIRAL AGE 58),2,0.651673985,0,15000,15000,0,2,2,58,31,1,180.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,2,52.90666667,Self Construction,SAL,0.529066667,0.529066667
4744973,0,Private Ltd. Co.,SALARIED,0,,0,18338,30686,12348,3,3,30,27,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,,Builder Ready,SAL,1.063365689,0.635468943
4747169,0,Self Employed Professional,PROPRIETOR,2,0.619718039,0,48355.6667,75884,27528.3333,3,2,41,35,1,276.0000,12613.0000,1.Others,SELF_EMP,ALTERNATE CHANNELS,3,32.66037636,Self Construction,NONSAL,0.512535587,0.326603764
4747587,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,0,0.794109913,0,41988.5833,69056.5833,27068,3,3,50,25,1,180.0000,5977.0000,3.Private Ltd Co,OTHERS,ALTERNATE CHANNELS,1,,Builder UNC,NONSAL,0.618025138,0.3757788
4747683,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,2,0.671428571,0,42626.0833,42626.0833,0,2,2,35,30,1,240.0000,0.0000,3.Private Ltd Co,OTHERS,ALTERNATE CHANNELS,3,,Builder UNC,NONSAL,0.569064716,0.569064716
4748045,0,Public Ltd. Co.,SALARIED,3,,0,27565,27565,0,4,3,35,28,1,240.0000,0.0000,4.Public Ltd. Co.,SALARIED,CROSS SALES,1,,Builder Ready,SAL,0.736622529,0.736622529
4748393,0,Private Ltd. Co.,SALARIED,0,0.843233527,0,23275,23275,0,2,2,29,20,1,240.0000,5438.0000,3.Private Ltd Co,SALARIED,DSA,2,37.95918367,Builder Ready,SAL,0.379591837,0.379591837
4751049,0,Proprietor-Proprietorship Firm (Staff Less than 25),SALARIED,1,0.619417714,0,40000,40000,0,3,3,40,33,1,216.0000,0.0000,3.Private Ltd Co,SALARIED,DSA,1,,Resale Ready,SAL,0.564775,0.564775
4751105,0,Private Ltd. Co.,SALARIED,2,0.570543333,0,22217,22217,0,3,3,52,23,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,59.27442949,Builder UNC,SAL,0.592744295,0.592744295
4757207,0,Partner-Partnership Firm (Staff More than 25),SALARIED,3,0.335117624,0,25000,25000,0,4,3,60,29,1,240.0000,14092.0000,3.Private Ltd Co,SALARIED,DSA,1,61.028,Builder UNC,SAL,0.61028,0.61028
4759435,0,Others,OTHERS,0,0.5,0,26799,26799,0,3,2,30,23,1,240.0000,0.0000,1.Others,SELF_EMP,CROSS SALES,2,,Builder Ready,NONSAL,0.545729318,0.545729318
4759781,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,3,0.500504144,0,29740.25,29740.25,0,2,1,42,32,1,240.0000,0.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,119.2222661,Builder UNC,NONSAL,0.375518027,0.375518027
4760015,0,Government,SALARIED,2,0.596510651,0,27905.4133,27905.4133,0,3,3,47,45,1,120.0000,0.0000,2.Govt,SALARIED,CROSS SALES,3,,Self Construction,SAL,0.503844894,0.503844894
4760393,0,Proprietor-Proprietorship Firm (Staff More than 25),TRADING,2,0.842823277,0,21367.5,21367.5,0,3,3,37,35,1,240.0000,7306.0000,3.Private Ltd Co,OTHERS,CROSS SALES,3,43.82824383,Builder UNC,NONSAL,0.438282438,0.438282438
